Timestamp,Quaternion_W,Quaternion_X,Quaternion_Y,Quaternion_Z
2024-01-03 23:53:36.500,14557,64,-37,7518
2024-01-03 23:53:36.529,14557,64,-37,7518
2024-01-03 23:53:36.559,14557,64,-37,7518
2024-01-03 23:53:36.591,14557,64,-37,7518
2024-01-03 23:53:36.622,14557,64,-37,7518
2024-01-03 23:53:36.644,14557,64,-37,7518
2024-01-03 23:53:36.668,14557,64,-37,7518
2024-01-03 23:53:36.694,14557,64,-37,7518
2024-01-03 23:53:36.722,14557,64,-37,7518
2024-01-03 23:53:36.754,14557,64,-37,7518
2024-01-03 23:53:36.782,14557,64,-37,7518
2024-01-03 23:53:36.830,14557,64,-37,7518
2024-01-03 23:53:36.835,14557,64,-37,7518
2024-01-03 23:53:36.861,14557,64,-37,7518
2024-01-03 23:53:36.890,14557,64,-37,7518
2024-01-03 23:53:36.918,14557,64,-37,7518
2024-01-03 23:53:36.947,14557,64,-37,7518
2024-01-03 23:53:36.972,14557,64,-37,7518
2024-01-03 23:53:37.005,14557,64,-37,7518
2024-01-03 23:53:37.036,14557,64,-37,7518
2024-01-03 23:53:37.055,14557,64,-37,7518
2024-01-03 23:53:37.116,14557,64,-37,7518
2024-01-03 23:53:37.121,14557,64,-37,7518
2024-01-03 23:53:37.138,14557,64,-37,7518
2024-01-03 23:53:37.171,14557,64,-37,7518
2024-01-03 23:53:37.193,14557,64,-37,7518
2024-01-03 23:53:37.221,14557,64,-37,7518
2024-01-03 23:53:37.272,14557,64,-37,7518
2024-01-03 23:53:37.277,14557,64,-37,7518
2024-01-03 23:53:37.307,14557,64,-37,7518
2024-01-03 23:53:37.332,14557,64,-37,7518
2024-01-03 23:53:37.360,14557,64,-37,7518
2024-01-03 23:53:37.390,14557,64,-37,7518
2024-01-03 23:53:37.418,14557,64,-37,7518
2024-01-03 23:53:37.445,14557,64,-37,7518
2024-01-03 23:53:37.500,14557,64,-37,7518
2024-01-03 23:53:37.526,14557,64,-37,7518
2024-01-03 23:53:37.565,14557,64,-37,7518
2024-01-03 23:53:37.580,14557,64,-37,7518
2024-01-03 23:53:37.636,14557,64,-37,7518
2024-01-03 23:53:37.655,14557,64,-37,7518
2024-01-03 23:53:37.664,14557,64,-37,7518
2024-01-03 23:53:37.693,14557,64,-37,7518
2024-01-03 23:53:37.729,14557,64,-37,7518
2024-01-03 23:53:37.749,14557,64,-37,7518
2024-01-03 23:53:37.779,14557,64,-37,7518
2024-01-03 23:53:37.828,14557,64,-37,7518
2024-01-03 23:53:37.849,14557,64,-37,7518
2024-01-03 23:53:37.855,14557,64,-37,7518
2024-01-03 23:53:37.889,14557,64,-37,7518
2024-01-03 23:53:37.933,14557,64,-37,7518
2024-01-03 23:53:37.937,14557,64,-37,7518
2024-01-03 23:53:37.974,14557,64,-37,7518
2024-01-03 23:53:37.995,14557,64,-37,7518
2024-01-03 23:53:38.030,14557,64,-37,7518
2024-01-03 23:53:38.048,14557,64,-37,7518
2024-01-03 23:53:38.075,14557,64,-37,7518
2024-01-03 23:53:38.102,14557,64,-37,7518
2024-01-03 23:53:38.131,14557,64,-37,7518
2024-01-03 23:53:38.168,14557,64,-37,7518
2024-01-03 23:53:38.184,14557,64,-37,7518
2024-01-03 23:53:38.218,14557,64,-37,7518
2024-01-03 23:53:38.242,14557,64,-37,7518
2024-01-03 23:53:38.274,14557,64,-37,7518
2024-01-03 23:53:38.320,14557,64,-37,7518
2024-01-03 23:53:38.326,14557,64,-37,7518
2024-01-03 23:53:38.347,14557,64,-37,7518
2024-01-03 23:53:38.400,14557,64,-37,7518
2024-01-03 23:53:38.428,14557,64,-37,7518
2024-01-03 23:53:38.437,14557,64,-37,7518
2024-01-03 23:53:38.459,14557,64,-37,7518
2024-01-03 23:53:38.492,14557,64,-37,7518
2024-01-03 23:53:38.510,14557,64,-37,7518
2024-01-03 23:53:38.551,14557,64,-37,7518
2024-01-03 23:53:38.567,14557,64,-37,7518
2024-01-03 23:53:38.634,14557,64,-37,7518
2024-01-03 23:53:38.645,14557,64,-37,7518
2024-01-03 23:53:38.650,14557,64,-37,7518
2024-01-03 23:53:38.674,14557,64,-37,7518
2024-01-03 23:53:38.717,14557,64,-37,7518
2024-01-03 23:53:38.730,14557,64,-37,7518
2024-01-03 23:53:38.757,14557,64,-37,7518
2024-01-03 23:53:38.786,14557,64,-37,7518
2024-01-03 23:53:38.810,14557,64,-37,7518
2024-01-03 23:53:38.843,14557,64,-37,7518
2024-01-03 23:53:38.869,14557,64,-37,7518
2024-01-03 23:53:38.895,14557,64,-37,7518
2024-01-03 23:53:38.937,14557,64,-37,7518
2024-01-03 23:53:38.954,14557,64,-37,7518
2024-01-03 23:53:38.980,14557,64,-37,7518
2024-01-03 23:53:39.022,14557,64,-37,7518
2024-01-03 23:53:39.038,14557,64,-37,7518
2024-01-03 23:53:39.089,14557,64,-37,7518
2024-01-03 23:53:39.116,14557,64,-37,7518
2024-01-03 23:53:39.122,14557,64,-37,7518
2024-01-03 23:53:39.146,14557,64,-37,7518
2024-01-03 23:53:39.168,14557,64,-37,7518
2024-01-03 23:53:39.202,14557,64,-37,7518
2024-01-03 23:53:39.251,14557,64,-37,7518
2024-01-03 23:53:39.257,14557,64,-37,7518
2024-01-03 23:53:39.276,14557,64,-37,7518
2024-01-03 23:53:39.303,14557,64,-37,7518
2024-01-03 23:53:39.331,14557,64,-37,7518
2024-01-03 23:53:39.363,14557,64,-37,7518
2024-01-03 23:53:39.387,14557,64,-37,7518
2024-01-03 23:53:39.414,14557,64,-37,7518
2024-01-03 23:53:39.440,14557,64,-37,7518
2024-01-03 23:53:39.469,14557,64,-37,7518
2024-01-03 23:53:39.507,14557,64,-37,7518
2024-01-03 23:53:39.523,14557,64,-37,7518
2024-01-03 23:53:39.556,14557,64,-37,7518
2024-01-03 23:53:39.577,14557,64,-37,7518
2024-01-03 23:53:39.616,14557,64,-37,7518
2024-01-03 23:53:39.631,14557,64,-37,7518
2024-01-03 23:53:39.667,14557,64,-37,7518
2024-01-03 23:53:39.697,14557,64,-37,7518
2024-01-03 23:53:39.714,14557,64,-37,7518
2024-01-03 23:53:39.741,14557,64,-37,7518
2024-01-03 23:53:39.772,14557,64,-37,7518
2024-01-03 23:53:39.801,14557,64,-37,7518
2024-01-03 23:53:39.850,14557,64,-37,7518
2024-01-03 23:53:39.877,14557,64,-37,7518
2024-01-03 23:53:39.883,14557,64,-37,7518
2024-01-03 23:53:39.906,14557,64,-37,7518
2024-01-03 23:53:39.934,14557,64,-37,7518
2024-01-03 23:53:39.964,14557,64,-37,7518
2024-01-03 23:53:39.996,14557,64,-37,7518
2024-01-03 23:53:40.019,14557,64,-37,7518
2024-01-03 23:53:40.045,14557,64,-37,7518
2024-01-03 23:53:40.074,14557,64,-37,7518
2024-01-03 23:53:40.104,14557,64,-37,7518
2024-01-03 23:53:40.134,14557,64,-37,7518
2024-01-03 23:53:40.157,14557,64,-37,7518
2024-01-03 23:53:40.183,14557,64,-37,7518
2024-01-03 23:53:40.214,14557,64,-37,7518
2024-01-03 23:53:40.256,14557,64,-37,7518
2024-01-03 23:53:40.268,14557,64,-37,7518
2024-01-03 23:53:40.310,14557,64,-37,7518
2024-01-03 23:53:40.320,14557,64,-37,7518
2024-01-03 23:53:40.346,14557,64,-37,7518
2024-01-03 23:53:40.377,14557,64,-37,7518
2024-01-03 23:53:40.402,14557,64,-37,7518
2024-01-03 23:53:40.431,14557,64,-37,7518
2024-01-03 23:53:40.483,14557,64,-37,7518
2024-01-03 23:53:40.503,14557,64,-37,7518
2024-01-03 23:53:40.511,14557,64,-37,7518
2024-01-03 23:53:40.546,14557,64,-37,7518
2024-01-03 23:53:40.587,14557,64,-37,7518
2024-01-03 23:53:40.594,14557,64,-37,7518
2024-01-03 23:53:40.620,14557,64,-37,7518
2024-01-03 23:53:40.648,14557,64,-37,7518
2024-01-03 23:53:40.677,14557,64,-37,7518
2024-01-03 23:53:40.703,14557,64,-37,7518
2024-01-03 23:53:40.737,14557,64,-37,7518
2024-01-03 23:53:40.756,14557,64,-37,7518
2024-01-03 23:53:40.781,14557,64,-37,7518
2024-01-03 23:53:40.810,14557,64,-37,7518
2024-01-03 23:53:40.844,14557,64,-37,7518
2024-01-03 23:53:40.864,14557,64,-37,7518
2024-01-03 23:53:40.922,14557,64,-37,7518
2024-01-03 23:53:40.946,14557,64,-37,7518
2024-01-03 23:53:40.956,14557,64,-37,7518
2024-01-03 23:53:40.977,14557,64,-37,7518
2024-01-03 23:53:41.001,14557,64,-37,7518
2024-01-03 23:53:41.033,14557,64,-37,7518
2024-01-03 23:53:41.060,14557,64,-37,7518
2024-01-03 23:53:41.089,14557,64,-37,7518
2024-01-03 23:53:41.113,14557,64,-37,7518
2024-01-03 23:53:41.140,14557,64,-37,7518
2024-01-03 23:53:41.180,14557,64,-37,7518
2024-01-03 23:53:41.195,14557,64,-37,7518
2024-01-03 23:53:41.226,14557,64,-37,7518
2024-01-03 23:53:41.255,14557,64,-37,7518
2024-01-03 23:53:41.283,14557,64,-37,7518
2024-01-03 23:53:41.321,14557,64,-37,7518
2024-01-03 23:53:41.336,14557,64,-37,7518
2024-01-03 23:53:41.365,14557,64,-37,7518
2024-01-03 23:53:41.394,14557,64,-37,7518
