Timestamp,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
2024-01-03 23:59:09.297,-0.438657,-0.628169,56.214588,0.24,0.17,9.75,0.062,0.0,0.312,5.5,8.5,-32.188
2024-01-03 23:59:09.309,-0.431552,-0.661993,59.945889,0.22,0.05,9.66,0.0,0.062,-0.312,4.688,8.5,-32.188
2024-01-03 23:59:09.346,-0.430584,-0.617117,59.322823,-0.04,0.07,9.73,0.062,0.312,-0.25,5.062,8.875,-32.188
2024-01-03 23:59:09.475,-0.420954,-0.574361,59.419252,-0.04,0.04,9.63,-0.062,-0.062,0.062,5.062,8.875,-32.188
2024-01-03 23:59:09.517,-0.432359,-0.578096,61.219797,0.11,0.11,9.71,0.062,0.0,0.188,4.688,8.875,-31.688
2024-01-03 23:59:09.530,-0.424314,-0.553024,52.96879,0.02,0.02,9.65,-0.125,-0.062,-0.125,6.562,8.875,-32.875
2024-01-03 23:59:09.542,-0.417926,-0.53427,51.976144,0.03,0.05,9.66,-0.062,0.188,0.375,6.188,8.062,-32.5
2024-01-03 23:59:09.666,-0.441556,-0.558019,51.963629,0.17,0.15,9.65,0.0,0.062,0.0,6.188,8.062,-32.5
2024-01-03 23:59:09.679,-0.441833,-0.535178,57.55701,0.03,0.06,9.62,0.125,0.062,0.188,5.5,8.875,-32.062
2024-01-03 23:59:09.690,-0.446279,-0.553941,49.555932,0.08,0.09,9.62,0.062,0.0,-0.062,6.188,7.375,-32.875
2024-01-03 23:59:09.703,-0.419741,-0.570881,58.372514,0.21,0.0,9.63,-0.125,-0.188,0.125,5.062,8.5,-31.75
2024-01-03 23:59:09.778,-0.437292,-0.510982,59.610126,-0.1,0.15,9.68,-0.062,0.312,-0.062,5.062,8.875,-32.188
2024-01-03 23:59:09.792,-0.413582,-0.569027,58.367359,0.09,0.05,9.66,0.062,0.062,-0.375,5.062,8.5,-31.75
2024-01-03 23:59:09.934,-0.446073,-0.536786,60.306654,0.09,-0.02,9.6,0.0,0.0,0.062,4.688,8.5,-32.5
2024-01-03 23:59:09.960,-0.435583,-0.5129,60.356614,0.01,0.04,9.7,0.0,0.062,-0.062,4.688,8.5,-32.5
2024-01-03 23:59:09.984,-0.458192,-0.487255,58.654884,0.0,0.15,9.68,0.062,-0.062,0.125,5.062,8.5,-31.75
2024-01-03 23:59:10.034,-0.491681,-0.551924,58.538887,0.3,0.19,9.65,0.062,0.062,0.125,5.062,8.5,-31.75
2024-01-03 23:59:10.075,-0.482095,-0.599305,58.486745,0.25,0.05,9.55,-0.312,-0.188,-0.312,5.5,9.25,-32.5
2024-01-03 23:59:10.135,-0.437375,-0.609567,58.42233,0.23,-0.03,9.59,-0.062,-0.125,-0.125,5.5,9.25,-31.375
2024-01-03 23:59:10.148,-0.469828,-0.56934,58.542131,0.0,0.04,9.68,-0.062,-0.062,0.062,5.5,9.25,-32.5
2024-01-03 23:59:10.166,-0.415506,-0.590951,57.385505,0.04,0.0,9.66,-0.125,0.0,-0.062,5.5,8.875,-31.688
2024-01-03 23:59:10.205,-0.418456,-0.602919,60.344922,0.14,0.08,9.66,0.562,0.188,-0.25,5.062,9.25,-32.188
